"nba_id","active","first_year","last_year","team_id","veteran","first_name","last_name"
"78568","0","1968","1969","0","Y","Williams","Sam"
"78569","0","1981","1984","0","Y","Williams","Samuel"
"281","0","1990","2004","0","Y","Williams","Scott"
"201157","0","2007","2011","0","Y","Williams","Sean"
"1742","0","1998","2006","0","Y","Williams","Shammond"
"200761","0","2006","2014","0","Y","Williams","Shawne"
"200749","0","2006","2011","0","Y","Williams","Shelden"
"78570","0","1979","1985","0","Y","Williams","Sly"
"1628494","1","2017","2017","1610612766","N","Williams","T.J."
"201944","0","2009","2012","0","Y","Williams","Terrence"
"1576","0","1997","1998","0","Y","Williams","Travis"
"1627786","1","2016","2017","1610612745","Y","Williams","Troy"
"1005","0","1992","2002","0","Y","Williams","Walt"
"78573","0","1948","1948","0","Y","Williams","Ward"
"78574","0","1970","1970","0","Y","Williams","Willie"
"1628430","1","2017","2017","1610612762","N","Williams-Goss","Nigel"
"722","0","1995","2006","0","Y","Williamson","Corliss"
"78575","0","1976","1980","0","Y","Williamson","John"
"788","0","1984","2006","0","Y","Willis","Kevin"
"78577","0","1975","1983","0","Y","Willoughby","Bill"
"2000","0","1999","1999","0","Y","Willoughby","Dedric"
"78586","0","1951","1951","0","Y","Wilson","Bob"
"78585","0","1974","1977","0","Y","Wilson","Bobby"
"1628391","1","2017","2017","1610612749","N","Wilson","D.J."
"78579","0","1964","1970","0","Y","Wilson","George"
"78580","0","1971","1971","0","Y","Wilson","Isaiah"
"203966","1","2017","2017","1610612746","Y","Wilson","Jamil"
"78581","0","1983","1986","0","Y","Wilson","Mike"
"78582","0","1987","1987","0","Y","Wilson","Nikita"
"78578","0","1984","1986","0","Y","Wilson","Othell"
"78583","0","1978","1979","0","Y","Wilson","Rick"
"78584","0","1987","1987","0","Y","Wilson","Ricky"
"78587","0","1979","1979","0","Y","Wilson","Thomas"
"1027","0","1990","1995","0","Y","Wilson","Trevor"
"1627787","0","2016","2016","0","Y","Wiltjer","Kyle"
"78589","0","1990","1992","0","Y","Winchester","Kennard"
"78590","0","1959","1959","0","Y","Windis","Tony"
"78591","0","1963","1963","0","Y","Windsor","John"
"78592","0","1969","1975","0","Y","Winfield","Lee"
"766","0","1986","2000","0","Y","Wingate","David"
"112","0","1994","1997","0","Y","Wingfield","Dontonio"
"78596","0","1972","1975","0","Y","Wingo","Harthorne"
"78597","0","1970","1970","0","Y","Winkler","Marv"
"1626159","1","2015","2017","1610612748","Y","Winslow","Justise"
"1984","0","1987","1987","0","Y","Winslow","Rickie"
"1868","0","1998","1998","0","Y","Winter","Trevor"
"78600","0","1974","1982","0","Y","Winters","Brian"
"78601","0","1985","1985","0","Y","Winters","Voise"
"78602","0","1976","1977","0","Y","Wise","Willie"
"203481","1","2013","2017","1610612762","Y","Withey","Jeff"
"78603","0","1973","1975","0","Y","Witte","Luke"
"1456","0","1983","1991","0","Y","Wittman","Randy"
"78605","0","1981","1981","0","Y","Witts","Garry"
"78606","0","1971","1977","0","Y","Wohl","Dave"
"341","0","1987","1998","0","Y","Wolf","Joe"
"2106","0","2000","2002","0","Y","Wolkowyski","Ruben"
"203489","0","2013","2014","0","Y","Wolters","Nate"
"78610","0","1981","1986","0","Y","Wood","Al"
"78612","0","1949","1949","0","Y","Wood","Bob"
"1626174","1","2015","2017","1610612766","Y","Wood","Christian"
"116","0","1988","1996","0","Y","Wood","David"
"78609","0","1981","1981","0","Y","Wood","Howard"
"78611","0","1984","1990","0","Y","Wood","Leon"
"2254","0","2001","2007","0","Y","Woods","Loren"
"2417","0","2002","2005","0","Y","Woods","Qyntel"
"1010","0","1992","1995","0","Y","Woods","Randy"
"78614","0","1980","1990","0","Y","Woodson","Mike"
"78615","0","1981","1993","0","Y","Woolridge","Orlando"
"906","0","1989","1999","0","Y","Workman","Haywoode"
"78616","0","1952","1953","0","Y","Workman","Mark"
"78617","0","1967","1969","0","Y","Workman","Tom"
"1897","1","1999","2017","1610612747","Y","World Peace","Metta"
"78618","0","1980","1981","0","Y","Worthen","Sam"
"1460","0","1982","1993","0","Y","Worthy","James"
"101120","0","2005","2010","0","Y","Wright","Antoine"
"101152","0","2005","2006","0","Y","Wright","Bracey"
"78620","0","1986","1987","0","Y","Wright","Brad"
"201148","1","2007","2017","1610612763","Y","Wright","Brandan"
"202874","0","2011","2013","0","Y","Wright","Chris"
"203203","0","2012","2012","0","Y","Wright","Chris"
"1626153","1","2015","2017","1610612761","Y","Wright","Delon"
"2748","0","2004","2015","0","Y","Wright","Dorell"
"78621","0","1990","1992","0","Y","Wright","Howard"
"78622","0","1972","1972","0","Y","Wright","Joby"
"201153","0","2007","2010","0","Y","Wright","Julian"
"78623","0","1976","1981","0","Y","Wright","Larry"
"953","0","1996","2008","0","Y","Wright","Lorenzen"
"1007","0","1993","1993","0","Y","Wright","Luther"
"412","0","1994","1997","0","Y","Wright","Sharone"
"203100","0","2012","2015","0","Y","Wroten","Tony"
"78627","0","1990","1990","0","Y","Wynder","A.J."
"1627824","1","2017","2017","1610612738","N","Yabusele","Guerschon"
"2397","0","2002","2010","0","Y","Yao Ming",""
"2428","0","2002","2002","0","Y","Yarbrough","Vincent"
"78628","0","1953","1959","0","Y","Yardley","George"
"78629","0","1971","1971","0","Y","Yates","Barry"
"78630","0","1961","1961","0","Y","Yates","Wayne"
"78631","0","1971","1971","0","Y","Yelverton","Charlie"
"201146","0","2007","2011","0","Y","Yi Jianlian",""
"78632","0","1981","1981","0","Y","Yonakor","Rich"
"78633","0","1984","1994","0","Y","Young","Danny"
"203923","1","2014","2017","1610612738","Y","Young","James"
"1626202","1","2015","2017","1610612754","Y","Young","Joe"
"1748","0","1998","1998","0","Y","Young","Korleone"
"78634","0","1984","1989","0","Y","Young","Michael"
